Type of Housing:Access to electricity::No,#NAME?,Type.of.Housing.Access.to.electricity..No
Type of Housing:Location of house::Basement,#NAME?,Type.of.Housing.Location.of.house..Basement
Type of Housing:Location of house::Above ground level,#NAME?,Type.of.Housing.Location.of.house..Above.ground.level
Type of Housing:Location of house::Roof level,#NAME?,Type.of.Housing.Location.of.house..Roof.level
Type of Housing:Please specify if any of the following is observed::Damp walls,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Damp.walls
Type of Housing:Please specify if any of the following is observed::Leaking roofs,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Leaking.roofs
Type of Housing:Please specify if any of the following is observed::Hygienic concerns,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Hygienic.concerns
Type of Housing:Please specify if any of the following is observed::Privacy concern,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Privacy.concern
Type of Housing:Please specify if any of the following is observed::Rodents,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Rodents
Type of Housing:Please specify if any of the following is observed::Poor insulation (winter & summer),#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Poor.insulation.-winter.and.summer-
Type of Housing:Please specify if any of the following is observed::broken windows,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..broken.windows
Type of Housing:Please specify if any of the following is observed::NA,#NAME?,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..NA
Type of Housing:Assets ::Floor mattress,#NAME?,Type.of.Housing.Assets...Floor.mattress
Type of Housing:Assets ::Sofa set,#NAME?,Type.of.Housing.Assets...Sofa.set
Type of Housing:Assets ::Kitchen utilities,#NAME?,Type.of.Housing.Assets...Kitchen.utilities
Type of Housing:Assets ::Computer,#NAME?,Type.of.Housing.Assets...Computer
Type of Housing:Assets ::Blankets,#NAME?,Type.of.Housing.Assets...Blankets
Type of Housing:Assets ::Stove,#NAME?,Type.of.Housing.Assets...Stove
Type of Housing:Assets ::Washing machine,#NAME?,Type.of.Housing.Assets...Washing.machine
Type of Housing:Assets ::Table-chairs,#NAME?,Type.of.Housing.Assets...Table-chairs
Type of Housing:Assets ::Cabinets,#NAME?,Type.of.Housing.Assets...Cabinets
Type of Housing:Assets ::Fridge,#NAME?,Type.of.Housing.Assets...Fridge
Type of Housing:Assets ::Television,#NAME?,Type.of.Housing.Assets...Television
Type of Housing:Assets ::Water heater,#NAME?,Type.of.Housing.Assets...Water.heater
Type of Housing:Assets ::Freezer,#NAME?,Type.of.Housing.Assets...Freezer
Type of Housing:Assets ::Other. specify,#NAME?,Type.of.Housing.Assets...Other..specify
Type of Housing:IF other please specify :,#NAME?,Type.of.Housing.IF.other.please.specify..
Type of Housing:How would you judge the assessed building?:Standard-acceptable,#NAME?,Type.of.Housing.How.would.you.judge.the.assessed.building?.Standard-acceptable
Type of Housing:How would you judge the assessed building?:substandard,#NAME?,Type.of.Housing.How.would.you.judge.the.assessed.building?.substandard
Payment:Type of occupancy::For rent,#NAME?,Payment.Type.of.occupancy..For.rent
Payment:Type of occupancy::Shelter provided through humanitarian assistance-donation,#NAME?,Payment.Type.of.occupancy..Shelter.provided.through.humanitarian.assistance-donation
Payment:Type of occupancy::Hosted (for free),#NAME?,Payment.Type.of.occupancy..Hosted.-for.free-
Payment:Type of occupancy::Shelter provided in return for work (in a farm. as a guard. etc.),#NAME?,Payment.Type.of.occupancy..Shelter.provided.in.return.for.work.-in.a.farm..as.a.guard..etc.-
Payment:Type of occupancy::Squatter (illegal occupation of someone else?s house-land),#NAME?,Payment.Type.of.occupancy..Squatter.-illegal.occupation.of.someone.else?s.house-land-
Payment:Existence of rent contract::Yes,#NAME?,Payment.Existence.of.rent.contract..Yes
Payment:Existence of rent contract::No,#NAME?,Payment.Existence.of.rent.contract..No
Payment:Duration of rent agreement::Monthly,#NAME?,Payment.Duration.of.rent.agreement..Monthly
Payment:Duration of rent agreement::Quarterly,#NAME?,Payment.Duration.of.rent.agreement..Quarterly
Payment:Duration of rent agreement::Biannual,#NAME?,Payment.Duration.of.rent.agreement..Biannual
Payment:Duration of rent agreement::Annual,#NAME?,Payment.Duration.of.rent.agreement..Annual
Payment:How much:,#NAME?,Payment.How.much.
Payment:Who:,#NAME?,Payment.Who.
Payment:Did you change your place of residence during the last 12 months?:Yes,#NAME?,Payment.Did.you.change.your.place.of.residence.during.the.last.12.months?.Yes
Payment:Did you change your place of residence during the last 12 months?:No,#NAME?,Payment.Did.you.change.your.place.of.residence.during.the.last.12.months?.No
Payment:If yes. why?:Protection-security reasons,#NAME?,Payment.If.yes..why?.Protection-security.reasons
Payment:If yes. why?:Closer to schools,#NAME?,Payment.If.yes..why?.Closer.to.schools
Payment:If yes. why?:Moved to  a cheaper house,#NAME?,Payment.If.yes..why?.Moved.to..a.cheaper.house
Payment:If yes. why?:Moved to a better house,#NAME?,Payment.If.yes..why?.Moved.to.a.better.house
Payment:If yes. why?:Moved to live with another family (members),#NAME?,Payment.If.yes..why?.Moved.to.live.with.another.family.-members-
Payment:If yes. why?:Other. specify,#NAME?,Payment.If.yes..why?.Other..specify
Payment:Other. specify :,#NAME?,Payment.Other..specify..
Payment:Were you forced to move or evicted in Jordan prior to current location?:Yes,#NAME?,Payment.Were.you.forced.to.move.or.evicted.in.Jordan.prior.to.current.location?.Yes
Payment:Were you forced to move or evicted in Jordan prior to current location?:No,#NAME?,Payment.Were.you.forced.to.move.or.evicted.in.Jordan.prior.to.current.location?.No
Payment:If yes. how many times?,#NAME?,Payment.If.yes..how.many.times?
Water:What are your most important sources of water in your household?:Piped-municipality,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Piped-municipality
Water:What are your most important sources of water in your household?:Private vendor,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Private.vendor
Water:What are your most important sources of water in your household?:Others:_________,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Others.
Water:What are your most important sources of water in your household?:Informal,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Informal
Water:What are your most important sources of water in your household?:UN agency-NGO assistance (not UNHCR CA),#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.UN.agency-NGO.assistance.-not.UNHCR.CA-
Water:What are your most important sources of water in your household?:Shop-market,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Shop-market
Water:What are your most important sources of water in your household?:Private well,#NAME?,Water.What.are.your.most.important.sources.of.water.in.your.household?.Private.well
Water:Is the water source located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:Yes,#NAME?,Water.Is.the.water.source.located.in.an.environment.which.is.perceived.to.be.safely.-infrastructure-.and.securely.-no.personal.risk-.accessible.to.all.members.of.the.household?.Yes
Water:Is the water source located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:No,#NAME?,Water.Is.the.water.source.located.in.an.environment.which.is.perceived.to.be.safely.-infrastructure-.and.securely.-no.personal.risk-.accessible.to.all.members.of.the.household?.No
Water:How many days did the household not have water in the past month?,#NAME?,Water.How.many.days.did.the.household.not.have.water.in.the.past.month?
Water:What are the reasons?:No-broken pipes or storage tanks,#NAME?,Water.What.are.the.reasons?.No-broken.pipes.or.storage.tanks
Water:What are the reasons?:Landlord-water authority cut supply,#NAME?,Water.What.are.the.reasons?.Landlord-water.authority.cut.supply
Water:What are the reasons?:Other,#NAME?,Water.What.are.the.reasons?.Other
Water:What are the reasons?:Ran out of money,#NAME?,Water.What.are.the.reasons?.Ran.out.of.money
Water:What are the reasons?:No more shop credit,#NAME?,Water.What.are.the.reasons?.No.more.shop.credit
Water:What are the reasons?:Do not know,#NAME?,Water.What.are.the.reasons?.Do.not.know
Water:Others:,#NAME?,Water.Others.
Water:Health::Children under 5 years no diarrhoea incidents in last six months,#NAME?,Water.Health..Children.under.5.years.no.diarrhoea.incidents.in.last.six.months
Water:Health::Children under 5 years had diarrhoea multiple times in last 6 months,#NAME?,Water.Health..Children.under.5.years.had.diarrhoea.multiple.times.in.last.6.months
Water:Health::Children under 5 years have had diarrhoea incident in last 2 weeks,#NAME?,Water.Health..Children.under.5.years.have.had.diarrhoea.incident.in.last.2.weeks
Water:Health::NA,#NAME?,Water.Health..NA
Wastewater:Do you have a latrine-toilet of exclusive use for your household?:Yes,#NAME?,Wastewater.Do.you.have.a.latrine-toilet.of.exclusive.use.for.your.household?.Yes
Wastewater:Do you have a latrine-toilet of exclusive use for your household?:No,#NAME?,Wastewater.Do.you.have.a.latrine-toilet.of.exclusive.use.for.your.household?.No
Wastewater:Is the latrine-toilet shared between more than one household?:Yes,#NAME?,Wastewater.Is.the.latrine-toilet.shared.between.more.than.one.household?.Yes
Wastewater:Is the latrine-toilet shared between more than one household?:No,#NAME?,Wastewater.Is.the.latrine-toilet.shared.between.more.than.one.household?.No
Wastewater:If yes. how many:________________,#NAME?,Wastewater.If.yes..how.many.
Wastewater:Is a latrine physically accessible to all members of the household?:Yes,#NAME?,Wastewater.Is.a.latrine.physically.accessible.to.all.members.of.the.household?.Yes
Wastewater:Is a latrine physically accessible to all members of the household?:No,#NAME?,Wastewater.Is.a.latrine.physically.accessible.to.all.members.of.the.household?.No
Wastewater:Is the latrine located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:Yes,#NAME?,Wastewater.Is.the.latrine.located.in.an.environment.which.is.perceived.to.be.safely.-infrastructure-.and.securely.-no.personal.risk-.accessible.to.all.members.of.the.household?.Yes
Wastewater:Is the latrine located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:No,#NAME?,Wastewater.Is.the.latrine.located.in.an.environment.which.is.perceived.to.be.safely.-infrastructure-.and.securely.-no.personal.risk-.accessible.to.all.members.of.the.household?.No
Wastewater:What kind of latrine-toilet facility does your household use?:Improved latrine with cement slab - flush latrine,#NAME?,Wastewater.What.kind.of.latrine-toilet.facility.does.your.household.use?.Improved.latrine.with.cement.slab.-.flush.latrine
Wastewater:What kind of latrine-toilet facility does your household use?:Traditional pit latrine- without slab- open pit,#NAME?,Wastewater.What.kind.of.latrine-toilet.facility.does.your.household.use?.Traditional.pit.latrine-.without.slab-.open.pit
Wastewater:What kind of latrine-toilet facility does your household use?:Open air,#NAME?,Wastewater.What.kind.of.latrine-toilet.facility.does.your.household.use?.Open.air
Wastewater:Wastewater collection-disposal::Network-sewage system,#NAME?,Wastewater.Wastewater.collection-disposal..Network-sewage.system
Wastewater:Wastewater collection-disposal::Tank or lined pit,#NAME?,Wastewater.Wastewater.collection-disposal..Tank.or.lined.pit
Wastewater:Wastewater collection-disposal::Unlined pit. field. bucket. plastic bag,#NAME?,Wastewater.Wastewater.collection-disposal..Unlined.pit..field..bucket..plastic.bag
Environmental Health:Frequency of wastewater overflows::Never,#NAME?,Environmental.Health.Frequency.of.wastewater.overflows..Never
Environmental Health:Frequency of wastewater overflows::Once-year,#NAME?,Environmental.Health.Frequency.of.wastewater.overflows..Once-year
Environmental Health:Frequency of wastewater overflows::> Once-year,#NAME?,Environmental.Health.Frequency.of.wastewater.overflows..-.Once-year
Environmental Health:Solid waste removal::Regularly with sufficient bins,#NAME?,Environmental.Health.Solid.waste.removal..Regularly.with.sufficient.bins
Environmental Health:Solid waste removal::Irregularly removed from site,#NAME?,Environmental.Health.Solid.waste.removal..Irregularly.removed.from.site
Environmental Health:Solid waste removal::Never. garbage burnt-dumped on site,#NAME?,Environmental.Health.Solid.waste.removal..Never..garbage.burnt-dumped.on.site
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::None,#NAME?,Environmental.Health.Evidence.of.vectors.-rates..flies..mosquitos..etc.-.on.solid.waste.that.were.observed.by.the.family...None
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::Infrequently 1-2-year,#NAME?,Environmental.Health.Evidence.of.vectors.-rates..flies..mosquitos..etc.-.on.solid.waste.that.were.observed.by.the.family...Infrequently.1-2-year
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::Frequently-weekly,#NAME?,Environmental.Health.Evidence.of.vectors.-rates..flies..mosquitos..etc.-.on.solid.waste.that.were.observed.by.the.family...Frequently-weekly
Hygiene Practices & Water Conservation:Extent to which type of facility is safe and hygienic::Access to safe. hygienic (cleanable surfaces and well drained). shower. bathing. laundry. dish washing facilities,#NAME?,Hygiene.Practices.and.Water.Conservation.Extent.to.which.type.of.facility.is.safe.and.hygienic..Access.to.safe..hygienic.-cleanable.surfaces.and.well.drained-..shower..bathing..laundry..dish.washing.facilities
Hygiene Practices & Water Conservation:Extent to which type of facility is safe and hygienic::Shared access to safe. hygienic (cleanable surfaces and well drained). shower. bathing. laundry. dish washing facilities,#NAME?,Hygiene.Practices.and.Water.Conservation.Extent.to.which.type.of.facility.is.safe.and.hygienic..Shared.access.to.safe..hygienic.-cleanable.surfaces.and.well.drained-..shower..bathing..laundry..dish.washing.facilities
Hygiene Practices & Water Conservation:Extent to which type of facility is safe and hygienic::No access to safe. hygienic (cleanable surfaces and well drained). shower. bathing. laundry. dish washing facilities,#NAME?,Hygiene.Practices.and.Water.Conservation.Extent.to.which.type.of.facility.is.safe.and.hygienic..No.access.to.safe..hygienic.-cleanable.surfaces.and.well.drained-..shower..bathing..laundry..dish.washing.facilities
Monthly Expenditure (JD):The portion Rent that you are paying,#NAME?,Monthly.Expenditure.-JD-.The.portion.Rent.that.you.are.paying
Monthly Expenditure (JD):Utilities (electricity. gas. etc.),#NAME?,Monthly.Expenditure.-JD-.Utilities.-electricity..gas..etc.-
Monthly Expenditure (JD):Food (excluding WFP vouchers),#NAME?,Monthly.Expenditure.-JD-.Food.-excluding.WFP.vouchers-
Monthly Expenditure (JD):Water (network. tanker. bottled. dislodging waste water. etc.),#NAME?,Monthly.Expenditure.-JD-.Water.-network..tanker..bottled..dislodging.waste.water..etc.-
Monthly Expenditure (JD):Treatment (medical. pharmaceuticals),#NAME?,Monthly.Expenditure.-JD-.Treatment.-medical..pharmaceuticals-
Monthly Expenditure (JD):Education,#NAME?,Monthly.Expenditure.-JD-.Education
Monthly Expenditure (JD):Transportation,#NAME?,Monthly.Expenditure.-JD-.Transportation
Monthly Expenditure (JD):Infant needs (diapers-milk),#NAME?,Monthly.Expenditure.-JD-.Infant.needs.-diapers-milk-
Monthly Expenditure (JD):Basic HH items (hygiene & NFIs),#NAME?,Monthly.Expenditure.-JD-.Basic.HH.items.-hygiene.and.NFIs-
Monthly Expenditure (JD):Debt repayment (monthly),#NAME?,Monthly.Expenditure.-JD-.Debt.repayment.-monthly-
Monthly Expenditure (JD):Other. please specify,#NAME?,Monthly.Expenditure.-JD-.Other..please.specify
Financial Situation:Total Expenditure,#NAME?,Financial.Situation.Total.Expenditure
Financial Situation:Please specify Expenditure :,#NAME?,Financial.Situation.Please.specify.Expenditure..
Monthly Income (JD):Proceeds from work (monthly),#NAME?,Monthly.Income.-JD-.Proceeds.from.work.-monthly-
Monthly Income (JD):Pension,#NAME?,Monthly.Income.-JD-.Pension
Monthly Income (JD):Income from assets in COO,#NAME?,Monthly.Income.-JD-.Income.from.assets.in.COO
Monthly Income (JD):Remittances.,#NAME?,Monthly.Income.-JD-.Remittances.
Monthly Income (JD):Income from other organizations or charitable donations - monthly and continuously (not from UNHCR). From whom:,#NAME?,Monthly.Income.-JD-.Income.from.other.organizations.or.charitable.donations.-.monthly.and.continuously.-not.from.UNHCR-..From.whom.
Monthly Income (JD):Other income (specify):,#NAME?,Monthly.Income.-JD-.Other.income.-specify-.
Financial Situation:Total income :,#NAME?,Financial.Situation.Total.income..
Financial Situation:Remittances. where (country):,#NAME?,Financial.Situation.Remittances..where.-country-.
Financial Situation:Remittances. whom (relationship):,#NAME?,Financial.Situation.Remittances..whom.-relationship-.
Financial Situation:Income from other organizations or charitable donations - monthly and continuously (not from UNHCR). From whom::Local CBO,#NAME?,Financial.Situation.Income.from.other.organizations.or.charitable.donations.-.monthly.and.continuously.-not.from.UNHCR-..From.whom..Local.CBO
Financial Situation:Income from other organizations or charitable donations - monthly and continuously (not from UNHCR). From whom::International NGOs,#NAME?,Financial.Situation.Income.from.other.organizations.or.charitable.donations.-.monthly.and.continuously.-not.from.UNHCR-..From.whom..International.NGOs
Financial Situation:Income from other organizations or charitable donations - monthly and continuously (not from UNHCR). From whom::Other specify,#NAME?,Financial.Situation.Income.from.other.organizations.or.charitable.donations.-.monthly.and.continuously.-not.from.UNHCR-..From.whom..Other.specify
Financial Situation:wirte the name of the organization that gives you the donation :,#NAME?,Financial.Situation.wirte.the.name.of.the.organization.that.gives.you.the.donation..
Financial Situation:specify other income:,#NAME?,Financial.Situation.specify.other.income.
Financial Situation:Are you receiving cash assistance form UNHCR ::Yes,#NAME?,Financial.Situation.Are.you.receiving.cash.assistance.form.UNHCR...Yes
Financial Situation:Are you receiving cash assistance form UNHCR ::No,#NAME?,Financial.Situation.Are.you.receiving.cash.assistance.form.UNHCR...No
Financial Situation:If there is a gap between the monthly expenditure and the monthly income. how do you manage to fill this gap?,#NAME?,Financial.Situation.If.there.is.a.gap.between.the.monthly.expenditure.and.the.monthly.income..how.do.you.manage.to.fill.this.gap?
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Living together with host family (Jordanian & Syrian),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Living.together.with.host.family.-Jordanian.and.Syrian-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Sharing costs with host family (Jordanian & Syrian),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Sharing.costs.with.host.family.-Jordanian.and.Syrian-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Support from family members (irregular remittances),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Support.from.family.members.-irregular.remittances-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Support from host community (Jordanian ),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Support.from.host.community.-Jordanian.-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Humanitarian assistance (CBOs. personal donations. etc.),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Humanitarian.assistance.-CBOs..personal.donations..etc.-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Selling properties (jewelry. car. etc.),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Selling.properties.-jewelry..car..etc.-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Selling food vouchers,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Selling.food.vouchers
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Selling household assets,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Selling.household.assets
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Borrowing money,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Borrowing.money
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Buying against credit,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Buying.against.credit
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Dropping children out from school,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Dropping.children.out.from.school
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Child labor (<16 years),#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Child.labor.--16.years-
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Begging,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Begging
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Savings,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Savings
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Irregular work,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Irregular.work
Poverty & Coping Strategies:What are the coping strategies that you used in the last six months? (Select all that apply)?:Have not paid the rent for the past months,#NAME?,Poverty.and.Coping.Strategies.What.are.the.coping.strategies.that.you.used.in.the.last.six.months?.-Select.all.that.apply-?.Have.not.paid.the.rent.for.the.past.months
Poverty & Coping Strategies:IF Saving how much !,#NAME?,Poverty.and.Coping.Strategies.IF.Saving.how.much.!
Poverty & Coping Strategies:IF Support from family members (irregular remittances) how much :,#NAME?,Poverty.and.Coping.Strategies.IF.Support.from.family.members.-irregular.remittances-.how.much..
