label,schema,short,vaf,identify
Type of Housing:Assets ::Kitchen utilities,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a3,Type.of.Housing.Assets...Kitchen.utilities,,
Type of Housing:Assets ::Computer,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a4,Type.of.Housing.Assets...Computer,,
Type of Housing:Assets ::Blankets,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a5,Type.of.Housing.Assets...Blankets,,
Type of Housing:Assets ::Stove,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a6,Type.of.Housing.Assets...Stove,,
Type of Housing:Assets ::Washing machine,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a7,Type.of.Housing.Assets...Washing.machine,,
Type of Housing:Assets ::Table/chairs,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a8,Type.of.Housing.Assets...Table.chairs,,
Type of Housing:Assets ::Cabinets,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a9,Type.of.Housing.Assets...Cabinets,,
Type of Housing:Assets ::Fridge,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a10,Type.of.Housing.Assets...Fridge,,
Type of Housing:Assets ::Television,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a11,Type.of.Housing.Assets...Television,,
Type of Housing:Assets ::Water heater,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a12,Type.of.Housing.Assets...Water.heater,,
Type of Housing:Assets ::Freezer,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a13,Type.of.Housing.Assets...Freezer,,
Type of Housing:Assets ::Other. specify,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a14,Type.of.Housing.Assets...Other.specify,,
Type of Housing:IF other please specify :,/Home_visit_version3/HG/HG1/hg1q181_VAF,Type.of.Housing.IF.other.please.specify..,yes,yes
Type of Housing:How would you judge the assessed building?:Standard/acceptable,/Home_visit_version3/HG/HG1/hg1q16:hg1q15a1,Type.of.Housing.How.would.you.judge.the.assessed.building..Standard..acceptable,,
Type of Housing:How would you judge the assessed building?:substandard,/Home_visit_version3/HG/HG1/hg1q16:hg1q15a2,Type.of.Housing.How.would.you.judge.the.assessed.building..substandard,,
Payment:Type of occupancy::For rent,/Home_visit_version3/HG/Hg2/hg2q1_VAF:hg2q1a1,Payment.Type.of.occupancy..For.rent,yes,
Payment:Type of occupancy::Shelter provided through humanitarian assistance/donation,/Home_visit_version3/HG/Hg2/hg2q1_VAF:hg2q1a2,Payment.Type.of.occupancy..Shelter.provided.through.humanitarian.assistance..donation,yes,
Payment:Type of occupancy::Hosted (for free),/Home_visit_version3/HG/Hg2/hg2q1_VAF:hg2q1a3,Payment.Type.of.occupancy..Hosted..for.free..,yes,
Payment:Type of occupancy::Shelter provided in return for work (in a farm. as a guard. etc.),/Home_visit_version3/HG/Hg2/hg2q1_VAF:hg2q1a5,Payment.Type.of.occupancy..Shelter.provided.in.return.for.work..in.a.farm..as.a.guard..etc..,yes,
Payment:Type of occupancy::Squatter (illegal occupation of someone else?s house/land),/Home_visit_version3/HG/Hg2/hg2q1_VAF:hg2q1a6,Payment.Type.of.occupancy..Squatter..illegal.occupation.of.someone.elses.house..land..,yes,
Payment:Existence of rent contract::Yes,/Home_visit_version3/HG/Hg2/hg2q2:Yes,Payment.Existence.of.rent.contract..Yes,,
Payment:Existence of rent contract::No,/Home_visit_version3/HG/Hg2/hg2q2:No,Payment.Existence.of.rent.contract..No,,
Payment:Duration of rent agreement::Monthly,/Home_visit_version3/HG/Hg2/hg2q3:hg2q3a1,Payment.Duration.of.rent.agreement..Monthly,,
Payment:Duration of rent agreement::Quarterly,/Home_visit_version3/HG/Hg2/hg2q3:hg2q3a2,Payment.Duration.of.rent.agreement..Quarterly,,
Payment:Duration of rent agreement::Biannual,/Home_visit_version3/HG/Hg2/hg2q3:hg2q3a3,Payment.Duration.of.rent.agreement..Biannual,,
Payment:Duration of rent agreement::Annual,/Home_visit_version3/HG/Hg2/hg2q3:hg2q3a4,Payment.Duration.of.rent.agreement..Annual,,
Payment:How much:,/Home_visit_version3/HG/Hg2/hg2q9,Payment.How.much.,,
Payment:Who:,/Home_visit_version3/HG/Hg2/hg2q15,Payment.Who.,,yes
Payment:Did you change your place of residence during the last 12 months?:Yes,/Home_visit_version3/HG/Hg2/hg2q4:Yes,Payment.Did.you.change.your.place.of.residence.during.the.last.12.months..Yes,,
Payment:Did you change your place of residence during the last 12 months?:No,/Home_visit_version3/HG/Hg2/hg2q4:No,Payment.Did.you.change.your.place.of.residence.during.the.last.12.months...No,,
Payment:If yes. why?:Protection/security reasons,/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a1,Payment.If.yes..why...Protection..security.reasons,,
Payment:If yes. why?:Closer to schools,/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a2,Payment.If.yes..why...Closer.to.schools,,
Payment:If yes. why?:Moved to  a cheaper house,/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a3,Payment.If.yes..why...Moved.to..a.cheaper.house,,
Payment:If yes. why?:Moved to a better house,/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a4,Payment.If.yes..why...Moved.to.a.better.house,,
Payment:If yes. why?:Moved to live with another family (members),/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a6,Payment.If.yes..why...Moved.to.live.with.another.family..members..,,
Payment:If yes. why?:Other. specify,/Home_visit_version3/HG/Hg2/hg2q5:hg2q5a5,Payment.If.yes..why...Other..specify,,
Payment:Other. specify :,/Home_visit_version3/HG/Hg2/hg2q6,Payment.Other..specify..,,yes
Payment:Were you forced to move or evicted in Jordan prior to current location?:Yes,/Home_visit_version3/HG/Hg2/hg2q7_VAF:Yes,Payment.Were.you.forced.to.move.or.evicted.in.Jordan.prior.to.current.location...Yes,yes,
Payment:Were you forced to move or evicted in Jordan prior to current location?:No,/Home_visit_version3/HG/Hg2/hg2q7_VAF:No,Payment.Were.you.forced.to.move.or.evicted.in.Jordan.prior.to.current.location...No,yes,
Payment:If yes. how many times?,/Home_visit_version3/HG/Hg2/hg2q8_VAF,Payment.If.yes..how.many.times..,yes,
Water:What are your most important sources of water in your household?:Piped/municipality,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a1,Water.What.are.your.most.important.sources.of.water.in.your.household...Piped..municipality,yes,
Water:What are your most important sources of water in your household?:Private vendor,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a2,Water.What.are.your.most.important.sources.of.water.in.your.household...Private.vendor,yes,
Water:What are your most important sources of water in your household?:Others:_________,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a3,Water.What.are.your.most.important.sources.of.water.in.your.household...Others.,yes,
Water:What are your most important sources of water in your household?:Informal,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a4,Water.What.are.your.most.important.sources.of.water.in.your.household...Informal,yes,
Water:What are your most important sources of water in your household?:UN agency/NGO assistance (not UNHCR CA),/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a5,Water.What.are.your.most.important.sources.of.water.in.your.household...UN.agency..NGO.assistance..not.UNHCR.CA..,yes,
Water:What are your most important sources of water in your household?:Shop/market,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a6,Water.What.are.your.most.important.sources.of.water.in.your.household...Shop..market,yes,
Water:What are your most important sources of water in your household?:Private well,/Home_visit_version3/WASH/washg1/washg1q1_VAF:washg1q1a7,Water.What.are.your.most.important.sources.of.water.in.your.household...Private.well,yes,
Water:Is the water source located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:Yes,/Home_visit_version3/WASH/washg1/washg1q10_VAF:Yes,Water.Is.the.water.source.located.in.an.environment.which.is.perceived.to.be.safely..infrastructure..and.securely..no.personal.risk..accessible.to.all.members.of.the.household...Yes,yes,
Water:Is the water source located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:No,/Home_visit_version3/WASH/washg1/washg1q10_VAF:No,Water.Is.the.water.source.located.in.an.environment.which.is.perceived.to.be.safely..infrastructure..and.securely..no.personal.risk..accessible.to.all.members.of.the.household...No,yes,
Water:How many days did the household not have water in the past month?,/Home_visit_version3/WASH/washg1/washg1q4_VAF,Water.How.many.days.did.the.household.not.have.water.in.the.past.month..,yes,
Water:What are the reasons?:No/broken pipes or storage tanks,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a1,Water.What.are.the.reasons...No..broken.pipes.or.storage.tanks,yes,
Water:What are the reasons?:Landlord/water authority cut supply,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a2,Water.What.are.the.reasons...Landlord..water.authority.cut.supply,yes,
Water:What are the reasons?:Other,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a5,Water.What.are.the.reasons...Other,yes,
Water:What are the reasons?:Ran out of money,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a4,Water.What.are.the.reasons...Ran.out.of.money,yes,
Water:What are the reasons?:No more shop credit,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a3,Water.What.are.the.reasons...No.more.shop.credit,yes,
Water:What are the reasons?:Do not know,/Home_visit_version3/WASH/washg1/washg1q5_VAF:washg1q5a6,Water.What.are.the.reasons...Do.not.know,yes,
Water:Others:,/Home_visit_version3/WASH/washg1/washg1q6_VAF,Water.Others.,yes,yes
Water:Health::Children under 5 years no diarrhoea incidents in last six months,/Home_visit_version3/WASH/washg1/washg1q9:washg1q9a1,Water.Health..Children.under.5.years.no.diarrhoea.incidents.in.last.six.months,,
Water:Health::Children under 5 years had diarrhoea multiple times in last 6 months,/Home_visit_version3/WASH/washg1/washg1q9:washg1q9a2,Water.Health..Children.under.5.years.had.diarrhoea.multiple.times.in.last.6.months,,
Water:Health::Children under 5 years have had diarrhoea incident in last 2 weeks,/Home_visit_version3/WASH/washg1/washg1q9:washg1q9a3,Water.Health..Children.under.5.years.have.had.diarrhoea.incident.in.last.2.weeks,,
Water:Health::NA,/Home_visit_version3/WASH/washg1/washg1q9:washg1q9a4,Water.Health..NA,,
Wastewater:Do you have a latrine/toilet of exclusive use for your household?:Yes,/Home_visit_version3/WASH/washg2/washg2q1_VAF:Yes,Wastewater.Do.you.have.a.latrine..toilet.of.exclusive.use.for.your.household...Yes,yes,
Wastewater:Do you have a latrine/toilet of exclusive use for your household?:No,/Home_visit_version3/WASH/washg2/washg2q1_VAF:No,Wastewater.Do.you.have.a.latrine..toilet.of.exclusive.use.for.your.household...No,yes,
Wastewater:Is the latrine/toilet shared between more than one household?:Yes,/Home_visit_version3/WASH/washg2/washg2q2_VAF:Yes,Wastewater.Is.the.latrine..toilet.shared.between.more.than.one.household...Yes,yes,
Wastewater:Is the latrine/toilet shared between more than one household?:No,/Home_visit_version3/WASH/washg2/washg2q2_VAF:No,Wastewater.Is.the.latrine..toilet.shared.between.more.than.one.household...No,yes,
Wastewater:If yes. how many:________________,/Home_visit_version3/WASH/washg2/washg2q3_VAF,Wastewater.If.yes..how.many.,yes,
Wastewater:Is a latrine physically accessible to all members of the household?:Yes,/Home_visit_version3/WASH/washg2/washg2q4_VAF:Yes,Wastewater.Is.a.latrine.physically.accessible.to.all.members.of.the.household...Yes,yes,
Wastewater:Is a latrine physically accessible to all members of the household?:No,/Home_visit_version3/WASH/washg2/washg2q4_VAF:No,Wastewater.Is.a.latrine.physically.accessible.to.all.members.of.the.household...No,yes,
Wastewater:Is the latrine located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:Yes,/Home_visit_version3/WASH/washg2/washg2q5_VAF:Yes,Wastewater.Is.the.latrine.located.in.an.environment.which.is.perceived.to.be.safely..infrastructure..and.securely..no.personal.risk..accessible.to.all.members.of.the.household...Yes,yes,
Wastewater:Is the latrine located in an environment which is perceived to be safely (infrastructure) & securely (no personal risk) accessible to all members of the household?:No,/Home_visit_version3/WASH/washg2/washg2q5_VAF:No,Wastewater.Is.the.latrine.located.in.an.environment.which.is.perceived.to.be.safely..infrastructure..and.securely..no.personal.risk..accessible.to.all.members.of.the.household...No,yes,
Wastewater:What kind of latrine/toilet facility does your household use?:Improved latrine with cement slab / flush latrine,/Home_visit_version3/WASH/washg2/washg2q6_VAF:washg2q6a1_VAF,Wastewater.What.kind.of.latrine..toilet.facility.does.your.household.use...Improved.latrine.with.cement.slab...flush.latrine,yes,
Wastewater:What kind of latrine/toilet facility does your household use?:Traditional pit latrine/ without slab/ open pit,/Home_visit_version3/WASH/washg2/washg2q6_VAF:washg2q6a2_VAF,Wastewater.What.kind.of.latrine..toilet.facility.does.your.household.use...Traditional.pit.latrine..without.slab..open.pit,yes,
Wastewater:What kind of latrine/toilet facility does your household use?:Open air,/Home_visit_version3/WASH/washg2/washg2q6_VAF:washg2q6a3_VAF,Wastewater.What.kind.of.latrine..toilet.facility.does.your.household.use...Open.air,yes,
Wastewater:Wastewater collection/disposal::Network/sewage system,/Home_visit_version3/WASH/washg2/washg2q7_VAF:washg2q7a1_VAF,Wastewater.Wastewater.collection..disposal..Network..sewage.system,yes,
Wastewater:Wastewater collection/disposal::Tank or lined pit,/Home_visit_version3/WASH/washg2/washg2q7_VAF:washg2q7a2_VAF,Wastewater.Wastewater.collection..disposal..Tank.or.lined.pit,yes,
Wastewater:Wastewater collection/disposal::Unlined pit. field. bucket. plastic bag,/Home_visit_version3/WASH/washg2/washg2q7_VAF:washg2q7a3_VAF,Wastewater.Wastewater.collection..disposal..Unlined.pit..field..bucket..plastic.bag,yes,
Environmental Health:Frequency of wastewater overflows::Never,/Home_visit_version3/WASH/washg3/washg3q1:washg3q1a1,Environmental.Health.Frequency.of.wastewater.overflows..Never,,
Environmental Health:Frequency of wastewater overflows::Once/year,/Home_visit_version3/WASH/washg3/washg3q1:washg3q1a2,Environmental.Health.Frequency.of.wastewater.overflows..Once..year,,
Environmental Health:Frequency of wastewater overflows::> Once/year,/Home_visit_version3/WASH/washg3/washg3q1:washg3q1a3,Environmental.Health.Frequency.of.wastewater.overflows....Once..year,,
Environmental Health:Solid waste removal::Regularly with sufficient bins,/Home_visit_version3/WASH/washg3/washg3q2:washg3q2a1,Environmental.Health.Solid.waste.removal..Regularly.with.sufficient.bins,,
Environmental Health:Solid waste removal::Irregularly removed from site,/Home_visit_version3/WASH/washg3/washg3q2:washg3q2a2,Environmental.Health.Solid.waste.removal..Irregularly.removed.from.site,,
Environmental Health:Solid waste removal::Never. garbage burnt/dumped on site,/Home_visit_version3/WASH/washg3/washg3q2:washg3q2a3,Environmental.Health.Solid.waste.removal..Never..garbage.burnt..dumped.on.site,,
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::None,/Home_visit_version3/WASH/washg3/washg3q3:washg3q3a1,Environmental.Health.Evidence.of.vectors..rates..flies..mosquitos..etc...on.solid.waste.that.were.observed.by.the.family...None,,
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::Infrequently 1-2/year,/Home_visit_version3/WASH/washg3/washg3q3:washg3q3a2,Environmental.Health.Evidence.of.vectors..rates..flies..mosquitos..etc...on.solid.waste.that.were.observed.by.the.family...Infrequently.1..2..year,,
Environmental Health:Evidence of vectors (rates. flies. mosquitos. etc.) on solid waste that were observed by the family ::Frequently/weekly,/Home_visit_version3/WASH/washg3/washg3q3:washg3q3a3,Environmental.Health.Evidence.of.vectors..rates..flies..mosquitos..etc...on.solid.waste.that.were.observed.by.the.family...Frequently..weekly,,
Hygiene Practices & Water Conservation:Extent to which type of facility is safe and hygienic::Access to safe. hygienic (cleanable surfaces and well drained). shower. bathing. laundry. dish washing facilities,/Home_visit_version3/WASH/washg4/washg4q1:washg4q1a1,Hygiene.Practices.and.Water.Conservation.Extent.to.which.type.of.facility.is.safe.and.hygienic..Access.to.safe..hygienic..cleanable.surfaces.and.well.drained...shower..bathing..laundry..dish.washing.facilities,,
Hygiene Practices & Water Conservation:Extent to which type of facility is safe and hygienic::Shared access to safe. hygienic (cleanable surfaces and well drained). shower. bathing. laundry. dish washing facilities,/Home_visit_version3/WASH/washg4/washg4q1:washg4q1a2,Hygiene.Practices.and.Water.Conservation.Extent.to.which.type.of.facility.is.safe.and.hygienic..Shared.access.to.safe..hygienic..cleanable.surfaces.and.well.drained...shower..bathing..laundry..dish.washing.facilities,,
