check_label	v4	onlyv4	onlyv3	labelv4	schemav4	labelv3	schemav3	short	vaf	identify
1	yes	yes		Unreachable cases:PA Telephone :	/home_visit_4/Unreachable/PAPhoneNumber			Unreachable.cases..PA.Telephone...		
0	yes			Household information:address :	/home_visit_4/HHG/HHg1q1	Household information:address :	/Home_visit_version3/HHG/HHg1q4	Household.information.address..		yes
1	yes			UNHCR file numbers for all members living in the house (in a different file number):UNHCR File Number	/home_visit_4/unhcrfilenumber/r1/UNHCR_File_Number	1.2 Specify identification documentations:UNHCR File Number	/Home_visit_version3/unhcrfilenumber/r1/UNHCR_File_Number	Specify.identification.documentations.UNHCR.File.Number		
0	yes			Household information:Name of Principal Applicant	/home_visit_4/HHG/HHG1q2	Household information:Name of Principal Applicant	/Home_visit_version3/HHG/HHG1q2	Household.information.Name.of.Principal.Applicant		yes
0	yes			Household information:Family Size	/home_visit_4/HHG/HHG1q3	Household information:Family Size	/Home_visit_version3/HHG/HHG1q3	Household.information.Family.Size		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::0-5	/home_visit_4/HHG/HHG1q4:HHG1q4a1			Household.information..Please.Specify.the.Age.Group.in.This.Family..0..5		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::6-11	/home_visit_4/HHG/HHG1q4:HHG1q4a2			Household.information..Please.Specify.the.Age.Group.in.This.Family..6..11		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::12-17	/home_visit_4/HHG/HHG1q4:HHG1q4a3			Household.information..Please.Specify.the.Age.Group.in.This.Family..12..17		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::18-27	/home_visit_4/HHG/HHG1q4:HHG1q4a4			Household.information..Please.Specify.the.Age.Group.in.This.Family..18..27		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::28-59	/home_visit_4/HHG/HHG1q4:HHG1q4a5			Household.information..Please.Specify.the.Age.Group.in.This.Family..28..59		
1	yes	yes		Household information:Please Specify the Age Group in This Family ::60 & above	/home_visit_4/HHG/HHG1q4:HHG1q4a6			Household.information..Please.Specify.the.Age.Group.in.This.Family..60.and.above		
1	yes	yes		Household information:Is the Family syrian ::Yes	/home_visit_4/HHG/HHG1q9:Yes			Household.information..Is.the.Family.syrian..Yes		
1	yes	yes		Household information:Is the Family syrian ::No	/home_visit_4/HHG/HHG1q9:No			Household.information..Is.the.Family.syrian..No		
1			yes			Household information:Governorate:	/Home_visit_version3/HHG/hhg1q5	Household.information.Governorate.		
1	yes	yes		Household information:Governorate::Amman	/home_visit_4/HHG/hhg1q5:hhg1q5a1			Household.information..Governorate.Amman		
1	yes	yes		Household information:Governorate::Ajloun	/home_visit_4/HHG/hhg1q5:hhg1q5a2			Household.information..Governorate.Ajloun		yes
1	yes	yes		Household information:Governorate::Aqaba	/home_visit_4/HHG/hhg1q5:hhg1q5a3			Household.information..Governorate.Aqaba		yes
1	yes	yes		Household information:Governorate::Balqa	/home_visit_4/HHG/hhg1q5:hhg1q5a4			Household.information..Governorate.Balqa		yes
1	yes	yes		Household information:Governorate::Irbid	/home_visit_4/HHG/hhg1q5:hhg1q5a5			Household.information..Governorate.Irbid		
1	yes	yes		Household information:Governorate::Jerash	/home_visit_4/HHG/hhg1q5:hhg1q5a6			Household.information..Governorate.Jerash		
1	yes	yes		Household information:Governorate::Karak	/home_visit_4/HHG/hhg1q5:hhg1q5a7			Household.information..Governorate.Karak		yes
1	yes	yes		Household information:Governorate::Ma’an	/home_visit_4/HHG/hhg1q5:hhg1q5a8			Household.information..Governorate.Ma’an		yes
1	yes	yes		Household information:Governorate::Madaba	/home_visit_4/HHG/hhg1q5:hhg1q5a9			Household.information..Governorate.Madaba		yes
1	yes	yes		Household information:Governorate::Mafraq	/home_visit_4/HHG/hhg1q5:hhg1q5a10			Household.information..Governorate.Mafraq		yes
1	yes	yes		Household information:Governorate::Tafileh	/home_visit_4/HHG/hhg1q5:hhg1q5a11			Household.information..Governorate.Tafileh		yes
1	yes	yes		Household information:Governorate::Zarqa	/home_visit_4/HHG/hhg1q5:hhg1q5a12			Household.information..Governorate.Zarqa		yes
0	yes			Household information:District:	/home_visit_4/HHG/hhg1q6	Household information:District:	/Home_visit_version3/HHG/hhg1q6	Household.information.District.		
0	yes			Household information:Telephone(s):	/home_visit_4/HHG/hhg1q7	Household information:Telephone(s):	/Home_visit_version3/HHG/hhg1q7	Household.information.Telephone..s..		
0	yes			Household information:Alternative phone(s):	/home_visit_4/HHG/hhg1q8	Household information:Alternative phone(s):	/Home_visit_version3/HHG/hhg1q8	Household.information.Alternative.phone..s..		
1			yes			1.2 Specify identification documentations:Relationship	/Home_visit_version3/unhcrfilenumber/r1/Relationship	Specify.identification.documentations.Relationship		
1			yes			1.2 Specify identification documentations:Receiving UNHCR cash assistance:Yes	/Home_visit_version3/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:Yes	Specify.identification.documentations.Receiving.UNHCR.cash.assistance.Yes		
1			yes			1.2 Specify identification documentations:Receiving UNHCR cash assistance:No	/Home_visit_version3/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:No	Specify.identification.documentations.Receiving.UNHCR.cash.assistance.No		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Relationship	/home_visit_4/unhcrfilenumber/r1/Relationship			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Relationship		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Receiving UNHCR cash assistance:Yes	/home_visit_4/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:Yes			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Receiving.UNHCR.cash.assistance..Yes		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Receiving UNHCR cash assistance:No	/home_visit_4/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:No			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Receiving.UNHCR.cash.assistance..No		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Are you sharing expenses with this family/individual?:Yes	/home_visit_4/unhcrfilenumber/r1/sharing_expenses_with_this_family:Yes			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Are.you.sharing.expenses.with.this.family.or.individual..Yes		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Are you sharing expenses with this family/individual?:No	/home_visit_4/unhcrfilenumber/r1/sharing_expenses_with_this_family:No			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Are.you.sharing.expenses.with.this.family.or.individual..No		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Is this family/individual supporting your expenses?:Yes	/home_visit_4/unhcrfilenumber/r1/individual_supporting_your_expenses:Yes			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Is.this.family.or.individual.supporting.your.expenses..Yes		
1	yes	yes		UNHCR file numbers for all members living in the house (in a different file number):Is this family/individual supporting your expenses?:No	/home_visit_4/unhcrfilenumber/r1/individual_supporting_your_expenses:No			UNHCR.file.numbers.for.all.members.living.in.the.house.in.a.different.file.number..Is.this.family.or.individual.supporting.your.expenses..No		
1	yes			Information about family members who are living in the same house and NOT registered with UNHCR:Name :	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/NAME	Information about family members who are living in the same house and NOT registered with UNHCR:Name	/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/NAME	Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Name		
0	yes			Information about family members who are living in the same house and NOT registered with UNHCR:Relationship :	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Relationship	Information about family members who are living in the same house and NOT registered with UNHCR:Relationship :	/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Relationship	Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Relationship..		
1	yes			Information about family members who are living in the same house and NOT registered with UNHCR:Family Size :	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/FS	Information about family members who are living in the same house and NOT registered with UNHCR:Family Size	/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/FS	Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Family.Size		
1	yes			Information about family members who are living in the same house and NOT registered with UNHCR:Age :	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Age	Information about family members who are living in the same house and NOT registered with UNHCR:Age	/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Age	Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Age		
1	yes	yes		Information about family members who are living in the same house and NOT registered with UNHCR:Are you sharing expenses with this family/individual?:Yes	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/sharing_expenses_with_this_family1:Yes			Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR..Are.you.sharing.expenses.with.this.family.or.individual..Yes		
1	yes	yes		Information about family members who are living in the same house and NOT registered with UNHCR:Are you sharing expenses with this family/individual?:No	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/sharing_expenses_with_this_family1:No			Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR..Are.you.sharing.expenses.with.this.family.or.individual..No		
1	yes	yes		Information about family members who are living in the same house and NOT registered with UNHCR:Is this family/individual supporting your expenses?:Yes	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/individual_supporting_your_expenses1:Yes			Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR..Is.this.family.or.individual.supporting.your.expenses..Yes		
1	yes	yes		Information about family members who are living in the same house and NOT registered with UNHCR:Is this family/individual supporting your expenses?:No	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/individual_supporting_your_expenses1:No			Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR..Is.this.family.or.individual.supporting.your.expenses..No		
1	yes			Information about family members who are living in the same house and NOT registered with UNHCR:Notes :	/home_visit_4/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/note	Information about family members who are living in the same house and NOT registered with UNHCR:Notes	/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/note	Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Notes		
1	yes			Type of Housing:Type of Housing :(Based on the volunteer`s observations) ::Permanent shelter (structurally durable sound building with permanent materials/cement)	/home_visit_4/HG/HG1/VAF_hg1q1:VAF_hg1q1a1	Type of Housing:Type of Housing (Based on the volunteer`s observations):Permanent Shelter (structurally durable sound building with permanent materials/cement)	/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a1	Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Permanent.Shelter..structurally.durable.sound.building.with.permanent.materials..cement..	yes	
1	yes			Type of Housing:Type of Housing :(Based on the volunteer`s observations) ::Transitional shelter (caravan. mud hut. tin or wood structure. scrap material)	/home_visit_4/HG/HG1/VAF_hg1q1:VAF_hg1q1a2	Type of Housing:Type of Housing (Based on the volunteer`s observations):Transitional Shelter (caravan. mud hut. tin or wood structure. scrap material)	/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a2	Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Transitional.Shelter..caravan..mud.hut..tin.or.wood.structure..scrap.material..	yes	
1	yes			Type of Housing:Type of Housing :(Based on the volunteer`s observations) ::Temporary/emergency shelter (tent)	/home_visit_4/HG/HG1/VAF_hg1q1:VAF_hg1q1a3	Type of Housing:Type of Housing (Based on the volunteer`s observations):Temporary/emergency shelter (tent)	/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a3	Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Temporary..emergency.shelter..tent..	yes	
0	yes			Type of Housing:Number of family members in the house (both in the same file number or in another file):	/home_visit_4/HG/HG1/VAF_hg1q2	Type of Housing:Number of family members in the house (both in the same file number or in another file):	/Home_visit_version3/HG/HG1/hg1q2_VAF	Type.of.Housing.Number.of.family.members.in.the.house..both.in.the.same.file.number.or.in.another.file..	yes	
0	yes			Type of Housing:Number of rooms excluding the kitchen & WASH facilities:	/home_visit_4/HG/HG1/hg1q3	Type of Housing:Number of rooms excluding the kitchen & WASH facilities:	/Home_visit_version3/HG/HG1/hg1q3	Type.of.Housing.Number.of.rooms.excluding.the.kitchen.and.WASH.facilities.		
0	yes			Type of Housing:Total area excluding the kitchen & WASH facilities (Sq. meter):	/home_visit_4/HG/HG1/VAF_hg1q4	Type of Housing:Total area excluding the kitchen & WASH facilities (Sq. meter):	/Home_visit_version3/HG/HG1/hg1q18_VAF	Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities..Sq..meter..	yes	
1	yes			Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person ::< 3.5m²	/home_visit_4/HG/HG1/VAF_hg1q5:VAF_hg1q5a1	Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:< 3.5m²	/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa1	Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person...3.5m2	yes	
1	yes			Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person ::3.5m²	/home_visit_4/HG/HG1/VAF_hg1q5:VAF_hg1q5a2	Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:3.5m²	/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa2	Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person.3.5m2	yes	
1	yes			Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person ::> 3.5m²	/home_visit_4/HG/HG1/VAF_hg1q5:VAF_hg1q5a3	Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:> 3.5m²	/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa3	Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person...3.5m2	yes	
0	yes			Type of Housing:Access to kitchen::Yes	/home_visit_4/HG/HG1/hg1q6:Yes	Type of Housing:Access to kitchen::Yes	/Home_visit_version3/HG/HG1/hg1q5:Yes	Type.of.Housing.Access.to.kitchen..Yes		
0	yes			Type of Housing:Access to kitchen::No	/home_visit_4/HG/HG1/hg1q6:No	Type of Housing:Access to kitchen::No	/Home_visit_version3/HG/HG1/hg1q5:No	Type.of.Housing.Access.to.kitchen..No		
0	yes			Type of Housing:If Yes ::Inside the house	/home_visit_4/HG/HG1/hg1q7:hg1q7a1	Type of Housing:If Yes ::Inside the house	/Home_visit_version3/HG/HG1/hg1q6:hg1q5a1	Type.of.Housing.If.Yes...Inside.the.house		
0	yes			Type of Housing:If Yes ::Outside the house	/home_visit_4/HG/HG1/hg1q7:hg1q7a2	Type of Housing:If Yes ::Outside the house	/Home_visit_version3/HG/HG1/hg1q6:hg1q5a2	Type.of.Housing.If.Yes...Outside.the.house		
0	yes			Type of Housing:Access to Sanitary Facilities::Yes	/home_visit_4/HG/HG1/hg1q8:Yes	Type of Housing:Access to sanitary facilities::Yes	/Home_visit_version3/HG/HG1/hg1q7:Yes	Type.of.Housing.Access.to.sanitary.facilities..Yes		
0	yes			Type of Housing:Access to Sanitary Facilities::No	/home_visit_4/HG/HG1/hg1q8:No	Type of Housing:Access to sanitary facilities::No	/Home_visit_version3/HG/HG1/hg1q7:No	Type.of.Housing.Access.to.sanitary.facilities..No		
0	yes			Type of Housing:If Yes ::Inside the house	/home_visit_4/HG/HG1/hg1q9:hg1q7a1	Type of Housing:If Yes ::Inside the house	/Home_visit_version3/HG/HG1/hg1q8:hg1q6a1	Type.of.Housing.If.Yes...Inside.the.house		
0	yes			Type of Housing:If Yes ::Outside the house	/home_visit_4/HG/HG1/hg1q9:hg1q7a2	Type of Housing:If Yes ::Outside the house	/Home_visit_version3/HG/HG1/hg1q8:hg1q6a2	Type.of.Housing.If.Yes...Outside.the.house		
0	yes			Type of Housing:Ventilation::Yes	/home_visit_4/HG/HG1/hg1q10:Yes	Type of Housing:Ventilation::Yes	/Home_visit_version3/HG/HG1/hg1q9:Yes	Type.of.Housing.Ventilation..Yes		
0	yes			Type of Housing:Ventilation::No	/home_visit_4/HG/HG1/hg1q10:No	Type of Housing:Ventilation::No	/Home_visit_version3/HG/HG1/hg1q9:No	Type.of.Housing.Ventilation..No		
0	yes			Type of Housing:If Yes ::Windows	/home_visit_4/HG/HG1/hg1q11:hg1q11a1	Type of Housing:If Yes ::Windows	/Home_visit_version3/HG/HG1/hg1q10:hg1q9a1	Type.of.Housing.If.Yes...Windows		
0	yes			Type of Housing:If Yes ::Doors	/home_visit_4/HG/HG1/hg1q11:hg1q11a2	Type of Housing:If Yes ::Doors	/Home_visit_version3/HG/HG1/hg1q10:hg1q9a2	Type.of.Housing.If.Yes...Doors		
0	yes			Type of Housing:If Yes ::Tubes/openings	/home_visit_4/HG/HG1/hg1q11:hg1q11a3	Type of Housing:If Yes ::Tubes/openings	/Home_visit_version3/HG/HG1/hg1q10:hg1q9a3	Type.of.Housing.If.Yes...Tubes..openings		
0	yes			Type of Housing:Access to Electricity::Yes	/home_visit_4/HG/HG1/hg1q12:Yes	Type of Housing:Access to electricity::Yes	/Home_visit_version3/HG/HG1/hg1q11:Yes	Type.of.Housing.Access.to.electricity..Yes		
0	yes			Type of Housing:Access to Electricity::No	/home_visit_4/HG/HG1/hg1q12:No	Type of Housing:Access to electricity::No	/Home_visit_version3/HG/HG1/hg1q11:No	Type.of.Housing.Access.to.electricity..No		
0	yes			Type of Housing:Location of House::Basement	/home_visit_4/HG/HG1/hg1q13:hg1q13a1	Type of Housing:Location of house::Basement	/Home_visit_version3/HG/HG1/hg1q12:hg1q11a1	Type.of.Housing.Location.of.house..Basement		
0	yes			Type of Housing:Location of House::Above ground level	/home_visit_4/HG/HG1/hg1q13:hg1q13a2	Type of Housing:Location of house::Above ground level	/Home_visit_version3/HG/HG1/hg1q12:hg1q11a2	Type.of.Housing.Location.of.house..Above.ground.level		
0	yes			Type of Housing:Location of House::Roof level	/home_visit_4/HG/HG1/hg1q13:hg1q13a3	Type of Housing:Location of house::Roof level	/Home_visit_version3/HG/HG1/hg1q12:hg1q11a3	Type.of.Housing.Location.of.house..Roof.level		
0	yes			Type of Housing:Assets ::Floor mattress	/home_visit_4/HG/HG1/hg1q14:hg1q14a1	Type of Housing:Assets ::Floor mattress	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a1	Type.of.Housing.Assets...Floor.mattress		
0	yes			Type of Housing:Assets ::Blankets	/home_visit_4/HG/HG1/hg1q14:hg1q14a2	Type of Housing:Assets ::Blankets	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a5	Type.of.Housing.Assets...Blankets		
0	yes			Type of Housing:Assets ::Table/chairs	/home_visit_4/HG/HG1/hg1q14:hg1q14a3	Type of Housing:Assets ::Table/chairs	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a8	Type.of.Housing.Assets...Table.chairs		
0	yes			Type of Housing:Assets ::Television	/home_visit_4/HG/HG1/hg1q14:hg1q14a4	Type of Housing:Assets ::Television	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a11	Type.of.Housing.Assets...Television		
0	yes			Type of Housing:Assets ::Sofa set	/home_visit_4/HG/HG1/hg1q14:hg1q14a5	Type of Housing:Assets ::Sofa set	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a2	Type.of.Housing.Assets...Sofa.set		
1	yes	yes		Type of Housing:Assets ::Beds	/home_visit_4/HG/HG1/hg1q14:hg1q14a6			Type.of.Housing..Assets..Beds		
0	yes			Type of Housing:Assets ::Cabinets	/home_visit_4/HG/HG1/hg1q14:hg1q14a7	Type of Housing:Assets ::Cabinets	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a9	Type.of.Housing.Assets...Cabinets		
0	yes			Type of Housing:Assets ::Water heater	/home_visit_4/HG/HG1/hg1q14:hg1q14a8	Type of Housing:Assets ::Water heater	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a12	Type.of.Housing.Assets...Water.heater		
0	yes			Type of Housing:Assets ::Kitchen utilities	/home_visit_4/HG/HG1/hg1q14:hg1q14a9	Type of Housing:Assets ::Kitchen utilities	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a3	Type.of.Housing.Assets...Kitchen.utilities		
0	yes			Type of Housing:Assets ::Stove	/home_visit_4/HG/HG1/hg1q14:hg1q14a10	Type of Housing:Assets ::Stove	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a6	Type.of.Housing.Assets...Stove		
0	yes			Type of Housing:Assets ::Fridge	/home_visit_4/HG/HG1/hg1q14:hg1q14a11	Type of Housing:Assets ::Fridge	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a10	Type.of.Housing.Assets...Fridge		
0	yes			Type of Housing:Assets ::Freezer	/home_visit_4/HG/HG1/hg1q14:hg1q14a12	Type of Housing:Assets ::Freezer	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a13	Type.of.Housing.Assets...Freezer		
0	yes			Type of Housing:Assets ::Computer	/home_visit_4/HG/HG1/hg1q14:hg1q14a13	Type of Housing:Assets ::Computer	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a4	Type.of.Housing.Assets...Computer		
0	yes			Type of Housing:Assets ::Washing machine	/home_visit_4/HG/HG1/hg1q14:hg1q14a14	Type of Housing:Assets ::Washing machine	/Home_visit_version3/HG/HG1/hg1q17:hg1q17a7	Type.of.Housing.Assets...Washing.machine		
